idReserva;idUser;idSala;data;horaInicio;horaFim;status;criado_em
1;4;3;15/06/2026;19:00;21:45:00;Confirmada;08/06/2026
2;6;3;19/06/2026;19:00:00;21:45:00;Confirmada;05/06/2026
3;1;2;21/06/2026;19:00:00;21:45:00;Confirmada;10/06/2026
4;5;11;27/06/2026;19:00:00;21:45:00;Confirmada;01/06/2026
5;4;4;18/06/2026;19:00:00;21:45:00;Cancelada;07/06/2026
6;3;2;30/06/2026;19:00:00;21:45:00;Confirmada;07/06/2026
7;7;1;13/06/2026;19:00:00;21:45:00;Cancelada;07/06/2026
8;7;1;14/06/2026;19:00:00;21:45:00;Confirmada;08/06/2026
9;8;12;12/06/2026;19:00:00;21:45:00;Confirmada;08/06/2026
10;6;5;22/06/2026;19:00:00;21:45:00;Confirmada;06/06/2026
11;2;9;20/06/2026;19:00:00;21:45:00;Confirmada;11/06/2026
12;8;7;24/06/2026;19:00:00;21:45:00;Confirmada;11/06/2026
13;1;6;08/06/2026;19:00:00;21:45:00;Confirmada;08/06/2026
14;6;8;25/06/2026;19:00:00;21:45:00;Confirmada;22/06/2026
15;1;1;19/09/2026;08:00;09:00;Confirmada;19/09/2026
16;1;5;19/09/2026;08:00;09:00;Confirmada;19/09/2026
